"filename", "language", "Lua", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interface\signal.lua", "Lua", 39, 0, 4, 10, 53
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interface\system.lua", "Lua", 61, 0, 6, 17, 84
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interfaces\main.lua", "Lua", 282, 0, 6, 73, 361
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interfaces\more-menu.lua", "Lua", 135, 0, 2, 38, 175
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interfaces\music-menu.lua", "Lua", 286, 0, 2, 72, 360
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interfaces\pots-menu.lua", "Lua", 268, 0, 3, 73, 344
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interfaces\result-menu\init.lua", "Lua", 274, 0, 6, 79, 359
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interfaces\result-menu\retxit-menu.lua", "Lua", 63, 0, 3, 20, 86
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\interfaces\start-menu.lua", "Lua", 67, 0, 2, 18, 87
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\musics.lua", "Lua", 202, 0, 5, 40, 247
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\overlay.lua", "Lua", 44, 0, 0, 11, 55
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\perlin.lua", "Lua", 84, 0, 17, 22, 123
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\player.lua", "Lua", 156, 0, 2, 49, 207
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\screen.lua", "Lua", 86, 0, 2, 24, 112
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\sfx.lua", "Lua", 28, 0, 0, 8, 36
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\special.lua", "Lua", 171, 0, 5, 44, 220
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\state.lua", "Lua", 47, 0, 2, 14, 63
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\states\game.lua", "Lua", 66, 0, 4, 24, 94
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\states\intro.lua", "Lua", 111, 0, 2, 32, 145
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\sysntf.lua", "Lua", 2, 0, 1, 0, 3
"c:\Users\Administrator\Documents\Works\plant-interactive\scripts\watering.lua", "Lua", 80, 0, 3, 23, 106
"Total", "-", 620, 53, 21, 207, 901
